Enrolled Year,Graduation Year,Student ID,Student Full Name,Country,Date of Birth,Enrollment Status,Gender,NFQ Level,College,Field of Study,Level of Study,Duration of Study,Study Type,Nace Rev 2 Activity,Grade Level,Employment Status
2023,2024.0,12000000128,Kristin Stevenson,Ireland,1996-05-12,graduated,Female,NFQ Level 9,CACSSS,Teaching Chinese to Speakers of Other Languages,MA,1 Year,FT,Agriculture,H22,FT
2023,2024.0,12000000134,Peter Sullivan,Ireland,1995-09-29,graduated,Male,NFQ Level 9,CACSSS,Theatre and Performative Practices,MA,1 Year,FT,Agriculture,H3,FT
2023,2024.0,12000000135,Dennis Adkins,Ireland,2003-02-17,graduated,Male,NFQ Level 9,COMH,Diagnostic Radiography,MSc,1 Year,FT,Agriculture,H21,FT
2023,2024.0,12000000137,James Chen,Ireland,2001-03-06,graduated,Male,NFQ Level 9,COMH,Education,Med,1 Year,FT,Fishing,H3,FT
2023,2024.0,12000000139,Stephanie Brown,Ireland,1998-07-11,graduated,Female,NFQ Level 9,COMH,Nursing (Gerontological Nursing),MSc,1 Year,FT,Fishing,H21,PT
2023,2024.0,12000000140,Paul Kennedy,Ireland,1999-06-16,graduated,Female,NFQ Level 9,COMH,Nursing (Intensive Care Nursing),MSc,1 Year,FT,Forestry,H22,PT
2023,2024.0,12000000143,Benjamin Moore,Ireland,1998-11-04,graduated,Male,NFQ Level 9,COMH,Nursing (Oncology Nursing),MSc,1 Year,FT,Agriculture,H21,FT
2023,2024.0,12000000148,Bryce Myers,Ireland,1994-12-06,graduated,Male,NFQ Level 9,COMH,Nursing (Specialist Mental Health Nursing Practice),MSc,1 Year,FT,Finance,H3,FT
2023,,12000000150,Courtney Baker,International,1999-09-04,dropped out,Male,NFQ Level 9,COMH,Physiotherapy,MSc,1 Year,FT,Forestry,H3,PT
2023,2024.0,12000000151,Chad Herrera,Ireland,2000-08-04,graduated,Female,NFQ Level 9,COMH,Radiation Therapy,MSc,1 Year,FT,Health,H21,FT
2023,2024.0,12000000152,Erik Johnson,Ireland,1997-09-20,graduated,Male,NFQ Level 9,COMH,Sports and Exercise Medicine,MMedSc,1 Year,FT,Health,H22,FT
2023,2024.0,12000000156,Marilyn Cruz,International,1996-03-17,graduated,Male,NFQ Level 9,COMH,Audiology,MSc,1 Year,FT,Forestry,H21,FT
2023,,12000000160,Kayla Leonard,Ireland,2000-10-19,dropped out,Female,NFQ Level 9,COMH,Diagnostic Radiography,MSc,1 Year,FT,Health,H22,FT
2023,2024.0,12000000162,Tyler Day,International,1994-11-25,graduated,Male,NFQ Level 9,COMH,Education,Med,1 Year,FT,Agriculture,H22,FT
2023,2024.0,12000000166,Paul Cox,Ireland,2001-03-09,graduated,Male,NFQ Level 9,COMH,Nursing (Gerontological Nursing),MSc,1 Year,FT,Fishing,H3,FT
2023,,12000000172,Nicholas Duarte,International,1996-12-04,dropped out,Male,NFQ Level 9,CACSSS,Early and Medieval Irish,MA,1 Year,FT,Finance,H21,FT
2023,2024.0,12000000182,Dawn Becker,International,1996-08-08,graduated,Male,NFQ Level 9,CACSSS,Ethnomusicology,MA,1 Year,FT,Education,H21,FT
2023,2024.0,12000000189,Scott Davenport,Ireland,1997-01-26,graduated,Female,NFQ Level 9,COMH,Diagnostic Radiography,MSc,1 Year,FT,Finance,H22,FT
2023,2024.0,12000000191,Tracey Jones,Ireland,2001-07-20,graduated,Female,NFQ Level 9,COMH,Education,Med,1 Year,FT,Forestry,H22,PT
2023,,12000000193,Ellen Singh,Ireland,1996-11-25,dropped out,Male,NFQ Level 9,COMH,Nursing (Gerontological Nursing),MSc,1 Year,FT,Fishing,H21,FT
2023,2024.0,12000000194,Pamela Wolfe,International,1994-05-13,graduated,Female,NFQ Level 9,COMH,Nursing (Intensive Care Nursing),MSc,1 Year,FT,Finance,H22,PT
2023,2024.0,12000000195,James Walker,Ireland,1999-11-08,graduated,Male,NFQ Level 9,COMH,Nursing (Oncology Nursing),MSc,1 Year,FT,Education,H22,FT
2023,2024.0,12000000196,Mr. Daniel Wright,Ireland,1999-10-19,graduated,Male,NFQ Level 9,COMH,Nursing (Specialist Mental Health Nursing Practice),MSc,1 Year,FT,Health,H21,FT
2023,2024.0,12000000210,Danielle Gallegos,Ireland,1995-08-29,graduated,Female,NFQ Level 9,COMH,Physiotherapy,MSc,1 Year,FT,Agriculture,H21,FT
2023,2024.0,12000000211,Stephen Roberts,International,1997-09-24,graduated,Male,NFQ Level 9,COMH,Radiation Therapy,MSc,1 Year,FT,Agriculture,H22,FT
2023,,12000000216,Patrick Terry,International,2000-04-14,dropped out,Female,NFQ Level 9,COMH,Sports and Exercise Medicine,MMedSc,1 Year,FT,Education,H21,PT
2023,2024.0,12000000218,Maria Garcia,International,1997-08-09,graduated,Female,NFQ Level 9,COMH,Audiology,MSc,1 Year,FT,Forestry,H21,FT
2023,,12000000234,Claire Bell,Ireland,2002-07-23,dropped out,Male,NFQ Level 9,COMH,Diagnostic Radiography,MSc,1 Year,FT,Finance,H21,PT
2023,2024.0,12000000236,Rodney Hernandez,Ireland,1999-07-02,graduated,Female,NFQ Level 9,COMH,Education,Med,1 Year,FT,Forestry,H21,PT
2023,2024.0,12000000237,Robert Williams,International,2002-07-17,graduated,Female,NFQ Level 9,COMH,Nursing (Gerontological Nursing),MSc,1 Year,FT,Health,H3,PT
2023,2024.0,12000000238,Elizabeth Hampton,Ireland,1994-08-03,graduated,Male,NFQ Level 9,CACSSS,Modern and Contemporary Art History,MA,1 Year,FT,Fishing,H1,FT
2023,2024.0,12000000239,Amanda Young,Ireland,1997-03-23,graduated,Male,NFQ Level 9,CACSSS,Modern Irish,MA,1 Year,FT,Agriculture,H3,FT
2023,2024.0,12000000240,Erin Horn,International,1994-06-18,graduated,Female,NFQ Level 9,CACSSS,Music and Cultural History,MA,1 Year,FT,Finance,H22,FT
2023,2024.0,12000000249,Susan Smith,Ireland,1997-06-09,graduated,Male,NFQ Level 9,CACSSS,Philosophy,MA,1 Year,FT,Forestry,H21,FT
2023,2024.0,12000000257,Joseph Huerta,Ireland,1998-03-03,graduated,Male,NFQ Level 9,CACSSS,Social Policy and Social Justice,MSocSc,1 Year,Distance,Finance,H22,FT
2023,2024.0,12000000258,Barbara Hudson,Ireland,1997-12-02,graduated,Female,NFQ Level 9,CACSSS,Sociology,MA,1 Year,FT,Finance,H22,FT
2023,2024.0,12000000260,Mary Soto,Ireland,2002-07-17,graduated,Male,NFQ Level 9,CACSSS,Strategic Studies,MA,1 Year,FT,Finance,H22,FT
2023,2024.0,12000000264,Adrian Logan PhD,International,2001-03-27,graduated,Female,NFQ Level 9,COMH,Diagnostic Radiography,MSc,1 Year,FT,Fishing,H3,FT
2023,,12000000267,Justin Robinson Jr.,International,2002-03-08,dropped out,Male,NFQ Level 9,COMH,Education,Med,1 Year,FT,Fishing,H21,PT
2023,2024.0,12000000270,Hannah Richardson,International,2001-03-21,graduated,Male,NFQ Level 9,COMH,Nursing (Gerontological Nursing),MSc,1 Year,FT,Agriculture,H3,PT
2023,2024.0,12000000274,Katherine Garrett,International,1995-04-22,graduated,Female,NFQ Level 9,COMH,Nursing (Intensive Care Nursing),MSc,1 Year,FT,Agriculture,H21,PT
2023,2024.0,12000000276,Amanda Miller,International,2001-12-01,graduated,Male,NFQ Level 9,COMH,Nursing (Oncology Nursing),MSc,1 Year,FT,Fishing,H22,FT
2023,,12000000280,Michael Bray,Ireland,1996-02-08,dropped out,Male,NFQ Level 9,COMH,Nursing (Specialist Mental Health Nursing Practice),MSc,1 Year,FT,Fishing,H22,PT
2023,2024.0,12000000288,Dr. Daniel Gray,Ireland,2002-07-12,graduated,Male,NFQ Level 9,COMH,Physiotherapy,MSc,1 Year,FT,Technology,H22,FT
2023,,12000000292,Megan Davis,Ireland,1998-12-15,dropped out,Female,NFQ Level 9,COMH,Radiation Therapy,MSc,1 Year,FT,Health,H21,FT
2023,2024.0,12000000293,Amber Young,Ireland,1997-09-25,graduated,Male,NFQ Level 9,COMH,Sports and Exercise Medicine,MMedSc,1 Year,FT,Agriculture,H3,FT
2023,2024.0,12000000294,Rachel Ramirez,Ireland,1996-09-20,graduated,Female,NFQ Level 9,COMH,Audiology,MSc,1 Year,FT,Health,H22,FT
2023,2024.0,12000000295,Brandon Peterson,Ireland,1995-05-06,graduated,Female,NFQ Level 9,COMH,Diagnostic Radiography,MSc,1 Year,FT,Education,H22,PT
2023,2024.0,12000000298,Peggy Taylor,Ireland,2001-03-18,graduated,Male,NFQ Level 9,COMH,Education,Med,1 Year,FT,Agriculture,H22,PT
2023,2024.0,12000000303,Amanda Harrington,Ireland,1995-09-17,graduated,Female,NFQ Level 9,COMH,Nursing (Gerontological Nursing),MSc,1 Year,FT,Fishing,H3,FT
2023,2024.0,12000000305,Diana Reynolds,Ireland,2001-09-05,graduated,Female,NFQ Level 9,CACSSS,Classical Studies,MA,1 Year,FT,Health,H21,FT
2023,2024.0,12000000307,Brandon Martinez,International,2001-02-28,graduated,Female,NFQ Level 9,CACSSS,Creative Writing (English),MA,1 Year,FT,Technology,H21,FT
2023,2024.0,12000000315,Cody Barnett,Ireland,1996-06-26,graduated,Male,NFQ Level 9,CACSSS,Early and Medieval Irish,MA,1 Year,FT,Fishing,H21,FT
2023,,12000000319,Linda Jennings,International,1995-09-13,dropped out,Female,NFQ Level 9,COMH,Diagnostic Radiography,MSc,1 Year,FT,Forestry,H21,FT
2023,2024.0,12000000324,Lisa Vazquez,International,1998-07-11,graduated,Female,NFQ Level 9,COMH,Education,Med,1 Year,FT,Finance,H21,PT
2023,2024.0,12000000329,Angela Wright,Ireland,2000-05-24,graduated,Female,NFQ Level 9,COMH,Nursing (Gerontological Nursing),MSc,1 Year,FT,Agriculture,H1,FT
2023,2024.0,12000000332,Norma Schmidt,Ireland,1994-09-05,graduated,Female,NFQ Level 9,COMH,Nursing (Intensive Care Nursing),MSc,1 Year,FT,Health,H22,FT
2023,,12000000334,Grant Collins,Ireland,1995-06-23,dropped out,Male,NFQ Level 9,COMH,Nursing (Oncology Nursing),MSc,1 Year,FT,Agriculture,H3,PT
2023,2024.0,12000000336,Jordan Combs,Ireland,2001-01-03,graduated,Female,NFQ Level 9,COMH,Nursing (Specialist Mental Health Nursing Practice),MSc,1 Year,FT,Health,H1,PT
2023,,12000000337,Yolanda Stokes,Ireland,2000-09-06,dropped out,Female,NFQ Level 9,COMH,Physiotherapy,MSc,1 Year,FT,Health,H3,FT
2023,,12000000345,John Allen,International,2001-01-14,dropped out,Male,NFQ Level 9,COMH,Radiation Therapy,MSc,1 Year,FT,Fishing,H22,PT
2023,2024.0,12000000346,Heather Brown,Ireland,2000-12-20,graduated,Female,NFQ Level 9,COMH,Sports and Exercise Medicine,MMedSc,1 Year,FT,Technology,H21,Not Employed
2023,2024.0,12000000349,Tonya Davis,International,1997-01-15,graduated,Female,NFQ Level 9,COMH,Audiology,MSc,1 Year,FT,Fishing,H21,PT
2023,2024.0,12000000350,Scott Kramer,International,1998-10-24,graduated,Female,NFQ Level 9,COMH,Diagnostic Radiography,MSc,1 Year,FT,Finance,H22,PT
2023,2024.0,12000000369,Christine Nicholson,International,2002-02-11,graduated,Female,NFQ Level 9,COMH,Education,Med,1 Year,FT,Education,H21,PT
2023,2024.0,12000000371,Sherri Torres,International,1997-09-10,graduated,Male,NFQ Level 9,COMH,Nursing (Gerontological Nursing),MSc,1 Year,FT,Fishing,H3,PT
2023,2024.0,12000000372,Ariel Berry,International,2000-02-12,graduated,Male,NFQ Level 9,CACSSS,"Migration, Mobility and Culture",MA,1 Year,FT,Health,H22,FT
2023,2024.0,12000000375,Lindsay Jenkins,International,2001-04-25,graduated,Female,NFQ Level 9,CACSSS,Modern and Contemporary Art History,MA,1 Year,FT,Agriculture,H3,FT
2023,2024.0,12000000377,Ryan Robinson,International,1995-11-22,graduated,Male,NFQ Level 9,CACSSS,Modern Irish,MA,1 Year,FT,Finance,H22,FT
2023,2024.0,12000000379,Katherine Moore,Ireland,1998-04-19,graduated,Female,NFQ Level 9,CACSSS,Music and Cultural History,MA,1 Year,FT,Finance,H21,FT
2023,2024.0,12000000392,Joseph Zhang,Ireland,2002-04-09,graduated,Female,NFQ Level 9,CACSSS,Philosophy,MA,1 Year,FT,Health,H3,FT
2023,2024.0,12000000395,Amy Garcia DVM,Ireland,1995-01-24,graduated,Male,NFQ Level 9,COMH,Diagnostic Radiography,MSc,1 Year,Distance,Agriculture,H22,FT
2023,2024.0,12000000396,Harry Arnold,Ireland,2001-08-15,graduated,Female,NFQ Level 9,COMH,Education,Med,1 Year,FT,Health,H3,Not Employed
2023,,12000000401,Jon Espinoza,Ireland,1998-01-04,dropped out,Male,NFQ Level 9,COMH,Nursing (Gerontological Nursing),MSc,1 Year,FT,Finance,H21,FT
2023,2024.0,12000000402,Kenneth Martinez,Ireland,1997-01-05,graduated,Female,NFQ Level 9,COMH,Nursing (Intensive Care Nursing),MSc,1 Year,FT,Forestry,H22,Not Employed
2023,2024.0,12000000404,Jacqueline Dodson,Ireland,1997-02-16,graduated,Male,NFQ Level 9,COMH,Nursing (Oncology Nursing),MSc,1 Year,FT,Education,H21,FT
2023,2024.0,12000000406,Kevin Bailey,Ireland,1996-09-04,graduated,Male,NFQ Level 9,COMH,Nursing (Specialist Mental Health Nursing Practice),MSc,1 Year,FT,Health,H21,Not Employed
2023,2024.0,12000000407,Gail Mcdaniel,International,2002-02-27,graduated,Male,NFQ Level 9,COMH,Physiotherapy,MSc,1 Year,FT,Technology,H22,FT
2023,2024.0,12000000411,Lori Gonzalez,International,2000-08-31,graduated,Female,NFQ Level 9,COMH,Radiation Therapy,MSc,1 Year,FT,Fishing,H21,PT
2023,2024.0,12000000412,Darrell Woods,International,2001-12-17,graduated,Female,NFQ Level 9,COMH,Sports and Exercise Medicine,MMedSc,1 Year,FT,Agriculture,H22,PT
2023,2024.0,12000000416,Elizabeth Mitchell,Ireland,1995-08-10,graduated,Male,NFQ Level 9,COMH,Audiology,MSc,1 Year,FT,Technology,H22,PT
2023,2024.0,12000000420,Susan Hays,International,1999-02-17,graduated,Female,NFQ Level 9,COMH,Diagnostic Radiography,MSc,1 Year,FT,Health,H21,PT
2023,2024.0,12000000423,Melissa Garza,Ireland,1994-12-20,graduated,Female,NFQ Level 9,COMH,Education,Med,1 Year,FT,Education,H21,PT
2023,2024.0,12000000424,Richard Roberts,Ireland,2001-01-03,graduated,Female,NFQ Level 9,COMH,Nursing (Gerontological Nursing),MSc,1 Year,FT,Agriculture,H21,Not Employed
2023,2024.0,12000000425,James Smith,International,1995-07-03,graduated,Female,NFQ Level 9,CACSSS,Asian Studies,MA,1 Year,FT,Agriculture,H22,FT
2023,2024.0,12000000427,Wesley Moore,Ireland,2001-10-04,graduated,Male,NFQ Level 9,CACSSS,Beginnings of Irish Christianity,MA,1 Year,FT,Technology,H1,FT
2023,2024.0,12000000431,Tracey Johnson,International,1999-04-29,graduated,Female,NFQ Level 9,CACSSS,Celtic Civilisation,MA,1 Year,FT,Finance,H22,FT
2023,2024.0,12000000434,Gary Whitaker,Ireland,1994-06-18,graduated,Female,NFQ Level 9,CACSSS,Classical Studies,MA,1 Year,FT,Agriculture,H22,FT
2023,2024.0,12000000437,Bradley Chaney,International,1995-03-20,graduated,Female,NFQ Level 9,CACSSS,Creative Writing (English),MA,1 Year,FT,Finance,H1,FT
2023,2024.0,12000000441,Michael Frank,International,1998-05-06,graduated,Male,NFQ Level 9,CACSSS,Early and Medieval Irish,MA,1 Year,FT,Education,H21,PT
2023,2024.0,12000000447,Angela Hill,Ireland,1999-04-03,graduated,Male,NFQ Level 9,CACSSS,Ethnomusicology,MA,1 Year,FT,Finance,H3,FT
2023,2024.0,12000000449,Mr. Daniel Liu,Ireland,2000-07-26,graduated,Female,NFQ Level 9,CACSSS,Experimental Sound Practice,MA,1 Year,FT,Finance,H21,Not Employed
2023,2024.0,12000000451,Marc Garcia,International,2002-01-22,graduated,Female,NFQ Level 9,CACSSS,Gaelic Literature and Culture,MA,1 Year,FT,Forestry,H3,PT
2023,2024.0,12000000455,Rebecca James,Ireland,1995-07-03,graduated,Male,NFQ Level 9,CACSSS,Global Gallery Studies,MA,1 Year,FT,Agriculture,H22,FT
2023,2024.0,12000000458,Teresa Stanley,International,1995-08-14,graduated,Female,NFQ Level 9,CACSSS,Government and Politics,MSc,1 Year,FT,Fishing,H3,Not Employed
2023,2024.0,12000000459,Deborah Oliver,International,2000-05-12,graduated,Female,NFQ Level 9,CACSSS,Health and Society,MA,1 Year,FT,Finance,H21,Not Employed
2023,2024.0,12000000463,Brandon Newman,Ireland,2001-04-14,graduated,Female,NFQ Level 9,CACSSS,History,MA,1 Year,FT,Technology,H21,FT
2023,2024.0,12000000473,Patricia Solis,International,1996-04-23,graduated,Male,NFQ Level 9,COMH,Diagnostic Radiography,MSc,1 Year,FT,Fishing,H21,PT
2023,2024.0,12000000474,Stephanie Hart,International,2001-10-11,graduated,Female,NFQ Level 9,COMH,Education,Med,1 Year,FT,Agriculture,H22,FT
2023,2024.0,12000000477,Ronald Ramos,International,1999-07-31,graduated,Male,NFQ Level 9,COMH,Nursing (Gerontological Nursing),MSc,1 Year,FT,Technology,H1,FT
2023,2024.0,12000000478,Jacob Garcia,International,1998-01-01,graduated,Female,NFQ Level 9,COMH,Nursing (Intensive Care Nursing),MSc,1 Year,FT,Technology,H1,Not Employed
2023,2024.0,12000000493,Tina Thompson,International,2002-03-28,graduated,Male,NFQ Level 9,COMH,Nursing (Oncology Nursing),MSc,1 Year,FT,Technology,H21,Not Employed
2023,2024.0,12000000494,Maria Haas,International,1995-05-28,graduated,Female,NFQ Level 9,COMH,Nursing (Specialist Mental Health Nursing Practice),MSc,1 Year,FT,Technology,H1,PT
2023,2024.0,12000000496,Dr. David Thomas,International,1995-03-10,graduated,Male,NFQ Level 9,COMH,Physiotherapy,MSc,1 Year,FT,Fishing,H21,FT
2023,2024.0,12000000497,Sheri Mccoy,Ireland,1998-03-27,graduated,Female,NFQ Level 9,COMH,Radiation Therapy,MSc,1 Year,FT,Health,H22,PT
2023,2024.0,12000000499,Emily Baker,Ireland,2002-12-03,graduated,Male,NFQ Level 9,COMH,Sports and Exercise Medicine,MMedSc,1 Year,FT,Agriculture,H3,Not Employed
2023,2024.0,12000000503,Jacob Kelly,Ireland,2001-09-10,graduated,Female,NFQ Level 9,COMH,Audiology,MSc,1 Year,FT,Health,H22,PT
2023,,12000000515,Ariel Allen,Ireland,2000-04-06,dropped out,Male,NFQ Level 9,COMH,Diagnostic Radiography,MSc,1 Year,FT,Fishing,H3,Not Employed
2023,2024.0,12000000519,Alice Avery,International,1996-03-21,graduated,Female,NFQ Level 9,COMH,Education,Med,1 Year,Distance,Agriculture,H21,PT
2023,2024.0,12000000521,Jennifer Vaughn,Ireland,1996-06-08,graduated,Female,NFQ Level 9,COMH,Nursing (Gerontological Nursing),MSc,1 Year,FT,Technology,H22,FT
2023,2024.0,12000000524,Maria Johnson,Ireland,1998-04-04,graduated,Female,NFQ Level 9,CACSSS,Strategic Studies,MA,1 Year,FT,Health,H1,FT
2023,2024.0,12000000525,Derek Montoya,Ireland,2000-06-01,graduated,Male,NFQ Level 9,CACSSS,Teaching Chinese to Speakers of Other Languages,MA,1 Year,FT,Agriculture,H22,FT
2023,2024.0,12000000526,Michelle Mason,Ireland,2000-11-25,graduated,Female,NFQ Level 9,CACSSS,Theatre and Performative Practices,MA,1 Year,FT,Education,H21,Not Employed
2023,2024.0,12000000527,Janice Hutchinson,International,1997-04-16,graduated,Male,NFQ Level 9,CACSSS,Translation Studies,MA,1 Year,FT,Forestry,H22,PT
2023,2024.0,12000000528,Michael Blake,International,2000-12-18,graduated,Female,NFQ Level 9,CACSSS,Women's Studies,MA,1 Year,FT,Technology,H22,PT
2023,2024.0,12000000534,James Cisneros,Ireland,1994-07-31,graduated,Female,NFQ Level 9,CACSSS,Work and Organisational Behaviour,MA,1 Year,FT,Health,H22,Not Employed
2023,2024.0,12000000537,Ashley Lucas,Ireland,1994-08-23,graduated,Female,NFQ Level 9,CACSSS,Work and Organisational Psychology,MA,1 Year,FT,Fishing,H3,FT
2023,2024.0,12000000542,Alexander Robinson,International,2000-05-17,graduated,Male,NFQ Level 9,CACSSS,Anthropology,MA,1 Year,FT,Agriculture,H3,Not Employed
2023,2024.0,12000000544,Peter Collins,Ireland,2001-12-21,graduated,Male,NFQ Level 9,CACSSS,Applied Psychology (Positive and Coaching Psychology),MA,1 Year,FT,Finance,H22,PT
2023,2024.0,12000000547,Austin Butler,International,1997-12-16,graduated,Male,NFQ Level 9,CACSSS,Art & Design,PME,1 Year,FT,Agriculture,H22,PT
2023,2024.0,12000000550,Kim Aguilar,International,1996-06-24,graduated,Female,NFQ Level 9,CACSSS,Arts Management and Creative Producing,MA,1 Year,FT,Health,H21,FT
2023,,12000000551,Miranda Carrillo,International,1998-07-19,dropped out,Female,NFQ Level 9,CACSSS,Asian Studies,MA,1 Year,FT,Education,H1,Not Employed
2023,2024.0,12000000553,Melissa Contreras,International,2002-09-29,graduated,Female,NFQ Level 9,COMH,Diagnostic Radiography,MSc,1 Year,FT,Agriculture,H22,FT
2023,2024.0,12000000555,Russell Carney,Ireland,1999-10-13,graduated,Female,NFQ Level 9,COMH,Education,Med,1 Year,FT,Education,H22,Not Employed
2023,2024.0,12000000557,Cheryl Fry,International,2002-09-08,graduated,Female,NFQ Level 9,COMH,Nursing (Gerontological Nursing),MSc,1 Year,FT,Fishing,H22,FT
2023,2024.0,12000000560,Juan Garrett,Ireland,1997-12-23,graduated,Male,NFQ Level 9,COMH,Nursing (Intensive Care Nursing),MSc,1 Year,FT,Technology,H22,PT
2023,2024.0,12000000566,Robin Weber,International,2001-03-26,graduated,Male,NFQ Level 9,COMH,Nursing (Oncology Nursing),MSc,1 Year,FT,Agriculture,H3,Not Employed
2023,2024.0,12000000571,Michael Serrano,International,1998-06-30,graduated,Male,NFQ Level 9,COMH,Nursing (Specialist Mental Health Nursing Practice),MSc,1 Year,FT,Agriculture,H22,FT
2023,2024.0,12000000572,Jack Moore,International,1999-03-31,graduated,Male,NFQ Level 9,COMH,Physiotherapy,MSc,1 Year,FT,Agriculture,H22,Not Employed
